REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ;REGISTRO_ANCINE_ASSOCIADO;AGENTE_ECONOMICO_ASSOCIADO;CNPJ_ASSOCIADO;RELACAO;DATA_ASSOCIACAO
1;M. ALTBERG CINEMA E VÍDEO LTDA;39.939.269/0001-73;12;ASSOCIAÇÃO REVISTA DO CINEMA BRASILEIRO;04.440.028/0001-09;COLIGAÇÃO;25/07/2023
1;M. ALTBERG CINEMA E VÍDEO LTDA;39.939.269/0001-73;4413;GCB EMPREENDIMENTOS E PARTICIPAÇÕES LTDA;02.407.790/0001-50;COLIGAÇÃO;08/03/2022
1;M. ALTBERG CINEMA E VÍDEO LTDA;39.939.269/0001-73;2802;INDIANA PRODUÇÕES CINEMATOGRÁFICAS EIRELI - ME;07.060.648/0001-00;COLIGAÇÃO;16/09/2020
4;SM PRODUÇÕES LTDA;27.815.174/0001-69;5847;ALLTERNATIVA FILMES LTDA;07.579.828/0001-95;COLIGAÇÃO;17/09/2020
5;ZOHAR CINEMA E COMUNICAÇÃO LTDA;31.437.692/0001-63;37715;ZOHAR CONTENT PRODUCOES LTDA;24.219.379/0001-93;COLIGAÇÃO;01/09/2023
10;CONSPIRAÇÃO FILMES S/A;02.020.661/0001-04;22478;CONSPIRAÇÃO ENTRETENIMENTO SÃO PAULO LTDA.;10.429.612/0001-58;CONTROLE;25/06/2024
10;CONSPIRAÇÃO FILMES S/A;02.020.661/0001-04;14233;CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.;09.180.984/0001-04;CONTROLE;26/01/2024
10;CONSPIRAÇÃO FILMES S/A;02.020.661/0001-04;12958;VEREDA FILMES LTDA;08.741.983/0001-29;CONTROLE;28/11/2023
10;CONSPIRAÇÃO FILMES S/A;02.020.661/0001-04;20529;VEREDA INTERNACIONAL AUDIOVISUAL LTDA;09.112.697/0001-67;COLIGAÇÃO;13/09/2023
12;ASSOCIAÇÃO REVISTA DO CINEMA BRASILEIRO;04.440.028/0001-09;1;M. ALTBERG CINEMA E VÍDEO LTDA;39.939.269/0001-73;COLIGAÇÃO;28/04/2022
12;ASSOCIAÇÃO REVISTA DO CINEMA BRASILEIRO;04.440.028/0001-09;2802;INDIANA PRODUÇÕES CINEMATOGRÁFICAS EIRELI - ME;07.060.648/0001-00;COLIGAÇÃO;16/09/2020
12;ASSOCIAÇÃO REVISTA DO CINEMA BRASILEIRO;04.440.028/0001-09;4413;GCB EMPREENDIMENTOS E PARTICIPAÇÕES LTDA;02.407.790/0001-50;COLIGAÇÃO;08/03/2022
15;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;27.920.016/0001-79;28;INSTITUTO CULTURA EM MOVIMENTO - ICEM;04.994.930/0001-69;COLIGAÇÃO;19/04/2021
18;INK PARTICIPACOES E INVESTIMENTOS LTDA;68.153.956/0001-67;13458;MAIS FILMES LTDA;09.255.824/0001-87;CONTROLE;29/04/2022
18;INK PARTICIPACOES E INVESTIMENTOS LTDA;68.153.956/0001-67;13424;STONE MILK POS PRODUCAO AUDIOVISUAL LTDA;09.222.300/0001-90;COLIGAÇÃO;22/05/2023
18;INK PARTICIPACOES E INVESTIMENTOS LTDA;68.153.956/0001-67;4465;30 PÉS FILMES LTDA.;07.447.850/0001-81;CONTROLE;22/08/2022
18;INK PARTICIPACOES E INVESTIMENTOS LTDA;68.153.956/0001-67;221;FILMES MAIS LTDA;03.435.290/0001-94;COLIGAÇÃO;28/04/2022
18;INK PARTICIPACOES E INVESTIMENTOS LTDA;68.153.956/0001-67;2017;JOIN PARTICIPAÇÕES E INVESTIMENTOS LTDA.;56.336.027/0001-04;COLIGAÇÃO;23/11/2023
18;INK PARTICIPACOES E INVESTIMENTOS LTDA;68.153.956/0001-67;13313;COLMEIA CAPACITACAO, CRIACAO E PRODUCAO DE CONTEUDOS LTDA;09.207.407/0001-69;COLIGAÇÃO;12/06/2023
18;INK PARTICIPACOES E INVESTIMENTOS LTDA;68.153.956/0001-67;13432;VELUDO CREATIVE FILM COMPANY LTDA;09.252.906/0001-78;CONTROLE;19/08/2022
28;INSTITUTO CULTURA EM MOVIMENTO - ICEM;04.994.930/0001-69;15;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;27.920.016/0001-79;COLIGAÇÃO;26/10/2023
29;DREAM FILMES ASSOCIADOS LTDA;01.629.547/0001-13;132;PRODUTORA DE CINEMA E FILMES ASSOCIADOS LTDA.;01.648.742/0001-90;COLIGAÇÃO;08/09/2022
30;TV ZERO PRODUÇÕES AUDIOVISUAIS LTDA;31.337.942/0001-93;23794;CURTISS FILMES LTDA - ME;17.327.513/0001-04;COLIGAÇÃO;14/06/2022
30;TV ZERO PRODUÇÕES AUDIOVISUAIS LTDA;31.337.942/0001-93;13937;NIMBUS COMUNICAÇÃO E MARKETING LTDA;07.427.207/0001-96;COLIGAÇÃO;04/03/2013
30;TV ZERO PRODUÇÕES AUDIOVISUAIS LTDA;31.337.942/0001-93;22180;NARRATIVA MARKETING POLITICO LTDA;14.705.135/0001-67;COLIGAÇÃO;07/06/2022
30;TV ZERO PRODUÇÕES AUDIOVISUAIS LTDA;31.337.942/0001-93;4586;TV ZERO CINEMA LTDA;03.360.320/0001-40;COLIGAÇÃO;23/09/2019
39;TELECINE PROGRAMACAO DE FILMES LTDA;00.252.848/0001-08;4727;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;COLIGAÇÃO;13/04/2020
39;TELECINE PROGRAMACAO DE FILMES LTDA;00.252.848/0001-08;5755;EDITORA GLOBO S.A.;04.067.191/0001-60;COLIGAÇÃO;10/05/2022
39;TELECINE PROGRAMACAO DE FILMES LTDA;00.252.848/0001-08;44;NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A;01.253.766/0001-40;COLIGAÇÃO;26/09/2023
39;TELECINE PROGRAMACAO DE FILMES LTDA;00.252.848/0001-08;1500;CANAL BRAZIL S/A;02.608.224/0001-06;COLIGAÇÃO;18/09/2023
41;DIGITAL 21 PRODUÇÕES ARTÍSTICAS LTDA;04.887.159/0001-20;50678;RODYFACE PRODUÇÕES E EVENTOS LTDA;11.873.794/0001-14;COLIGAÇÃO;08/03/2022
42;PRODUÇÕES CINEMATOGRÁFICAS LC BARRETO LTDA;33.450.990/0001-19;43;FILMES DO EQUADOR LTDA.;73.619.637/0001-34;COLIGAÇÃO;01/02/2024
42;PRODUÇÕES CINEMATOGRÁFICAS LC BARRETO LTDA;33.450.990/0001-19;19299;CARAVELA FILMES LTDA.;13.914.178/0001-90;COLIGAÇÃO;17/06/2024
43;FILMES DO EQUADOR LTDA.;73.619.637/0001-34;42;PRODUÇÕES CINEMATOGRÁFICAS LC BARRETO LTDA;33.450.990/0001-19;COLIGAÇÃO;29/04/2024
43;FILMES DO EQUADOR LTDA.;73.619.637/0001-34;19299;CARAVELA FILMES LTDA.;13.914.178/0001-90;COLIGAÇÃO;17/06/2024
44;NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A;01.253.766/0001-40;1500;CANAL BRAZIL S/A;02.608.224/0001-06;COLIGAÇÃO;18/09/2023
44;NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A;01.253.766/0001-40;39;TELECINE PROGRAMACAO DE FILMES LTDA;00.252.848/0001-08;COLIGAÇÃO;16/02/2022
44;NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A;01.253.766/0001-40;4727;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;COLIGAÇÃO;13/04/2020
44;NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A;01.253.766/0001-40;5755;EDITORA GLOBO S.A.;04.067.191/0001-60;COLIGAÇÃO;10/05/2022
46;JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA;34.012.898/0001-30;65;JOÃO DANIEL FILMES LTDA;64.086.648/0001-05;COLIGAÇÃO;17/08/2020
46;JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA;34.012.898/0001-30;49;ART2D2 PRODUÇÕES LTDA;72.353.725/0001-74;COLIGAÇÃO;17/03/2022
46;JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA;34.012.898/0001-30;100;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;COLIGAÇÃO;29/06/2022
46;JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA;34.012.898/0001-30;2687;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;COLIGAÇÃO;16/11/2023
49;ART2D2 PRODUÇÕES LTDA;72.353.725/0001-74;2687;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;COLIGAÇÃO;16/11/2023
49;ART2D2 PRODUÇÕES LTDA;72.353.725/0001-74;46;JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA;34.012.898/0001-30;COLIGAÇÃO;23/03/2022
